colony_id,spp_code,growth_form,log_area_cm2,mortality,year
242,AR,staghorn,-3.968382264,0,3_4
243,AR,staghorn,-2.249874606,0,3_4
244,AR,staghorn,-1.114511975,0,3_4
245,AR,staghorn,-4.219854183,0,3_4
247,AR,staghorn,-1.541823479,0,3_4
248,AR,staghorn,-2.651257309,0,3_4
249,AR,staghorn,-1.642827159,0,3_4
250,AR,staghorn,-2.934065372,0,3_4
251,AR,staghorn,-0.285416176,0,3_4
252,AR,staghorn,-3.74582314,0,3_4
253,AR,staghorn,-1.229144466,0,3_4
254,AR,staghorn,-3.315318863,0,3_4
255,AR,staghorn,-2.559696579,0,3_4
256,AR,staghorn,-3.241285836,0,3_4
257,AR,staghorn,-2.092542139,0,3_4
259,AR,staghorn,-2.433065661,0,3_4
260,AR,staghorn,-2.836734264,0,3_4
262,AR,staghorn,-2.490492716,0,3_4
263,AR,staghorn,-3.450556756,0,3_4
264,AR,staghorn,-2.619302667,0,3_4
265,AR,staghorn,-3.272075249,0,3_4
266,AR,staghorn,-4.210488302,0,3_4
236,AR,staghorn,-2.349614055,0,4_5
237,AR,staghorn,-2.900302812,0,4_5
238,AR,staghorn,-2.913212178,0,4_5
239,AR,staghorn,-3.116663794,0,4_5
241,AR,staghorn,-2.84287543,0,4_5
242,AR,staghorn,-4.178393183,0,4_5
243,AR,staghorn,-2.501123952,0,4_5
244,AR,staghorn,-1.318904786,0,4_5
245,AR,staghorn,-3.592369649,0,4_5
246,AR,staghorn,-2.269429798,0,4_5
247,AR,staghorn,-1.300473909,0,4_5
248,AR,staghorn,-2.068699441,0,4_5
249,AR,staghorn,-2.022789265,0,4_5
251,AR,staghorn,0.022001664,0,4_5
252,AR,staghorn,-3.007344523,0,4_5
253,AR,staghorn,-1.197852197,0,4_5
254,AR,staghorn,-3.122075328,0,4_5
255,AR,staghorn,-2.010468278,0,4_5
256,AR,staghorn,-2.984288292,0,4_5
259,AR,staghorn,-2.235745572,0,4_5
260,AR,staghorn,-2.707125811,0,4_5
261,AR,staghorn,-0.129156605,0,4_5
262,AR,staghorn,-2.53785761,0,4_5
263,AR,staghorn,-2.813857335,0,4_5
264,AR,staghorn,-2.641710253,0,4_5
265,AR,staghorn,-3.716783964,0,4_5
266,AR,staghorn,-3.372184791,0,4_5
365,AR,staghorn,-0.848755748,0,4_5
